name,time
Jess Clapier,5771000
Justin Spangler - Mi Duole | TurboTURBO,5807000
Josh Bradley [Mi Duole]ATP,5870000
Ryan Welch | Mi Duole,5870000
K VV {Mi DUOLE}ATP,5871000
Matt DenisAmes Velo,5872000
Thomas Stockham,5872000
Glen Gagon,5874000
Ryan Fogarty,5874000
Eric Ellis,5875000
Aiden Worth 2611,5875000
LEADER: Jack Boren ENVE | MI DUOLEATP,5881000
Martijn Fennema,5940000
Eric Hoffmann,6005000
Matt GuldenATP,6036000
Jon Dalton • Mi Duole,6036000
Hyrum Nelson (Duke of Arrakis),6051000
Mike Weber,6125000
Andy Compas | Mi Duole,6129000
Greg Low - Mi DuoleTeamODZ,6131000
Samuel Dearden,6132000
matt garner,6216000
Ryan Lott | Mi Duole,6217000
Miguelito Langito,6217000
Matt Bollinger (Mi Duole),6251000
Mitch World,6254000
Joe Massaro,6257000
Chris Harmon | Mi Duole,6258000
Mitch Webb(Mi Duole),6259000
Ben Brooks (Mi Duole),6336000
Billy RappleyeTeam CRYO-GEN,6336000
W StingerZone5 Racing,6337000
Cortino Garcia (ODZ),6338000
K. Anderson (Mi Duole),6338000
Stuart Anderson {Mi Duole},6340000
Taylor Dame 575849TeamODZ,6344000
Stockton Cannon,6348000
Matt BradyZone5 Racing,6403000
Andrew MossFell Swoop,6403000
Mark Hancock [DIRT]DIRT,6406000
Chris UT [Mi Duole],6407000
Nate Sundh,6407000
Ben Brinton,6407000
Tyler Servoss,6409000
Jon Love [Mi Duole],6409000
Brandon NelsonDIRT,6445000
Camille Brinton,6449000
Dave Brinton|MiDuole,6449000
Harrison Hawkes,6450000
Kris Aubrey | Mi Duole,6451000
Nick Balli | Mi Duole,6451000
Tyler Hawkins (Mi Duole),6458000
Adam Uribe (Mi Duole),6479000
Adam O’Farrell,6601000
Dan Mills (Mi Doule Cycling),6642000
James BlairZone5 Racing,6702000
Truman Ballard (Mi Duole),6702000
Mike Johnston [MI DUOLE],6722000
Taylor Cannon (Mi Duole),6734000
Dave Sharp | MiDuole,6739000
Matt Dalton | Mi Duole,6739000
Erik Olson (Mi Duole),6803000
Bjorn Larson,6824000
Brigham Ballard | (Mi Duole),6851000
Steve Hunt (Mi Duole),6852000
Katie Bonebrake,7102000
Brett Baumann (DIRT)DIRT,7188000
Richard Lajeunesse,7252000
Derek Bleazard | Mi Duole,8918000
